Neighbourhood Name,# of people with hypertension 2016/17 (20+),Total Population 2016 (20+),# of people with hypertension 2016/17 (Age 20-44),Total Population 2016 (Age 20-44),# of people with hypertension 2016/17 (Age 45-64),Total Population 2016 (Age 45-64),# of people with hypertension 2016/17 (Age 65+),Total Population 2016 (Age 65+)
Woburn,12981,56779,1267,20139,5593,14439,6121,8052
Willowdale East,7612,53166,691,23122,2823,13953,4098,6700
Waterfront Communities-The Island,5756,52501,829,32876,2232,10338,2695,4569
Rouge,11504,47829,967,16028,5561,13670,4976,6640
Malvern,11012,47542,995,16526,5151,12696,4866,6418
L'Amoreaux,11591,46873,687,14981,4341,13668,6563,8919
Islington-City Centre West,9582,45045,779,17434,3588,12106,5215,7287
Dovercourt-Wallace Emerson-Junction,6481,37955,545,17590,2596,9534,3340,4566
Parkwoods-Donalda,7727,36932,642,12726,3342,10243,3743,5341
Downsview-Roding-CFB,8565,36893,750,12551,3585,10189,4230,5505
West Humber-Clairville,8403,36353,703,13291,3741,9663,3959,5176
Mount Olive-Silverstone-Jamestown,7294,35939,789,12906,3578,8815,2927,3902
Church-Yonge Corridor,4437,34369,499,18804,1991,8243,1947,3298
Glenfield-Jane Heights,8209,33791,650,10781,3404,8908,4155,5175
Annex,5033,31405,300,14295,1499,7831,3234,5641
Agincourt North,7846,30923,430,9698,2927,9185,4489,6196
Mount Pleasant West,4916,30683,507,15297,1720,7359,2689,4266
Bendale,7398,30546,593,10721,2888,7917,3917,5184
York University Heights,5981,30500,603,12908,2545,7365,2833,3742
Mimico,6481,30420,488,11635,2609,9363,3384,5028
West Hill,7097,29049,624,9570,3422,8386,3051,4067
Wexford/Maryvale,7076,28918,538,9586,2985,8462,3553,4580
Tam O'Shanter-Sullivan,7459,28771,478,9191,2614,7878,4367,5937
Banbury-Don Mills,6992,28614,348,8338,2086,8313,4558,6740
Don Valley Village,5577,28530,406,10429,2034,7616,3137,4606
South Riverdale,4330,28511,423,12234,1848,7927,2059,3147
Westminster-Branson,6667,27825,449,9721,2530,7772,3688,5035
Milliken,6855,27758,417,8970,2574,8183,3864,5274
Clairlea-Birchmount,6134,27755,650,9888,2874,7951,2610,3487
Steeles,6684,26479,370,8297,2326,7737,3988,5530
Stonegate-Queensway,5235,26367,389,8654,2102,8073,2744,4080
Dorset Park,6138,26321,567,8969,2787,7545,2784,3633
Niagara,2514,26131,533,17339,1098,4928,883,1473
Newtonbrook West,5287,25291,438,9507,2121,7314,2728,3932
Kingsview Village-The Westway,5364,25245,444,8444,2190,6441,2730,3796
Englemount-Lawrence,4859,25050,383,8638,1778,5494,2698,3732
Bedford Park-Nortown,4065,24918,266,7763,1501,6894,2298,3666
High Park-Swansea,3881,24251,287,9426,1387,6562,2207,3572
Flemingdon Park,4716,24198,440,8725,2014,5930,2262,3262
Eglinton East,6003,24141,574,8042,2689,6491,2740,3497
Bay Street Corridor,2602,24030,246,13216,857,4477,1499,2550
Black Creek,4968,23688,468,8139,2244,5911,2256,2872
Rockcliffe-Smythe,5467,23590,404,7988,2360,6715,2703,3692
Birchcliffe-Cliffside,5242,23406,370,7317,2268,7648,2604,3785
The Beaches,3278,23297,234,7858,1399,7283,1645,2974
High Park North,3514,23071,291,10141,1293,5910,1930,3146
Rosedale-Moore Park,4221,22918,192,7020,1287,6782,2742,5139
Agincourt South-Malvern West,5402,22823,351,7244,2073,6943,2978,4090
East End-Danforth,3926,22810,407,8362,1724,6766,1795,2658
Thorncliffe Park,3709,22593,469,8184,1608,4561,1632,2279
Oakwood Village,4971,22524,382,8225,1786,6098,2803,3695
South Parkdale,3806,22280,376,10556,1731,5997,1699,2547
Willowridge-Martingrove-Richview,5789,22191,398,6692,1982,6123,3409,4542
Eringate-Centennial-West Deane,5117,20152,258,5976,1991,6193,2868,3986
St.Andrew-Windfields,3596,20089,202,6263,1359,6065,2035,3399
North St. James Town,3293,19985,425,9650,1620,5078,1248,1814
Weston,4484,19881,456,7061,2101,5656,1927,2540
O'Connor-Parkview,4163,19875,320,6756,1906,5894,1937,2746
Bayview Village,3842,19789,256,7449,1269,5394,2317,3608
Taylor-Massey,3512,19637,558,8318,1670,5081,1284,1833
Kensington-Chinatown,3320,19580,203,9659,1159,4654,1958,2791
Brookhaven-Amesbury,4005,19061,384,6691,1887,5237,1734,2272
Moss Park,3046,19031,384,9295,1552,5791,1110,1830
Victoria Village,4688,18782,361,6344,1832,5151,2495,3313
Morningside,4647,18751,367,6438,2117,5111,2163,2808
Hillcrest Village,4680,18665,232,5626,1403,5352,3045,4421
Danforth-East York,3601,18310,299,6652,1372,5125,1930,2668
Kennedy Park,4787,18307,458,6088,2314,5533,2015,2590
Leaside-Bennington,2857,17820,165,5074,1146,5607,1546,2579
Mount Pleasant East,2821,17635,231,6140,1077,4971,1513,2517
Scarborough Village,4002,17615,416,5888,1859,4747,1727,2243
Trinity-Bellwoods,2882,17614,202,8563,974,4269,1706,2343
Newtonbrook East,3496,17254,191,6435,1220,5003,2085,3206
Lansing-Westgate,2840,17038,243,6723,1120,4526,1477,2242
Pleasant View,3939,16977,231,5553,1395,4956,2313,3286
Humbermede,3814,16858,391,5860,1675,4289,1748,2283
Cliffcrest,3958,16715,302,5111,1782,5204,1874,2629
Lawrence Park South,2286,16666,148,5365,919,4899,1219,2211
Bathurst Manor,3690,16381,249,5624,1405,4618,2036,2786
Clanton Park,3347,16230,306,5778,1394,4304,1647,2270
Roncesvalles,2346,16201,201,6875,979,4436,1166,1784
Lawrence Park North,2270,16123,204,4993,914,4626,1152,2015
Greenwood-Coxwell,2583,15828,260,6487,1136,4388,1187,1727
Briar Hill - Belgravia,3454,15571,294,5844,1500,4573,1660,2224
Willowdale West,3386,15387,185,5627,1072,4145,2129,3104
Oakridge,3178,15301,439,5535,1556,4036,1183,1585
Yorkdale-Glen Park,4103,15174,250,4785,1361,4187,2492,3188
Palmerston-Little Italy,2307,15158,170,7962,710,3320,1427,2087
Humewood-Cedarvale,2521,15081,251,6337,978,3829,1292,1961
Junction Area,2369,14894,237,6292,1096,4181,1036,1620
Ionview,3527,14868,441,5557,1637,4014,1449,1882
Corso Italia-Davenport,2955,14689,241,5892,1184,3982,1530,2021
Mount Dennis,3092,14578,315,5147,1488,4088,1289,1743
Wychwood,3085,14495,166,5460,915,3714,2004,2876
Bayview Woods-Steeles,3662,14428,142,4190,983,4032,2537,3748
Forest Hill North,2471,14003,182,4907,961,3828,1328,2050
Centennial Scarborough,3307,13984,211,4261,1384,4143,1712,2449
Humber Heights-Westmount,3919,13924,223,4158,1279,3846,2417,3170
Little Portugal,2426,13814,188,6924,855,3169,1383,1825
Highland Creek,3641,13364,209,4432,1601,3993,1831,2453
Humber Summit,3402,13362,278,4446,1244,3299,1880,2441
Woodbine Corridor,2110,13282,199,5039,946,3852,965,1408
Edenbridge-Humber Valley,3131,13230,160,3900,1106,4071,1865,2727
North Riverdale,2134,13154,137,4566,811,4012,1186,1896
Yonge-St.Clair,2399,12889,132,5051,656,3361,1611,2838
Cabbagetown-South St. James Town,2433,12706,177,5187,957,4110,1299,2150
Dufferin Grove,2170,12570,203,6028,768,2979,1199,1696
Alderwood,3026,12556,205,4222,1253,3868,1568,2077
Henry Farm,1949,12548,193,5208,844,2919,912,1366
Weston-Pellam Park,2457,12517,238,4932,1158,3512,1061,1443
Broadview North,2479,12186,206,4626,919,3512,1354,1945
Yonge-Eglinton,1671,12091,145,4933,631,3168,895,1615
Casa Loma,2386,12089,99,4188,623,3176,1664,2826
Forest Hill South,2027,11760,123,4043,639,3334,1265,2241
Princess-Rosethorn,2374,11470,127,3218,976,3679,1271,1998
Etobicoke West Mall,2705,11298,185,3811,1106,3314,1414,1876
New Toronto,2361,11246,187,4208,1071,3332,1103,1566
Rexdale-Kipling,2728,11153,201,3669,1134,3229,1393,1854
Bridle Path-Sunnybrook-York Mills,2001,11077,92,3104,648,3366,1261,2131
Keelesdale-Eglinton West,2540,11067,188,3914,1094,3115,1258,1664
Thistletown-Beaumond Heights,2616,10736,220,3631,1047,2829,1349,1767
Runnymede-Bloor West Village,1564,10721,140,3848,663,3020,761,1257
Maple Leaf,2821,10718,184,3436,997,2951,1640,2039
Rustic,2714,10619,204,3301,1036,2710,1474,1830
Markland Wood,2828,10579,129,2801,976,3347,1723,2490
Caledonia-Fairbank,2244,10524,181,3943,1018,3049,1045,1361
Elms-Old Rexdale,2164,10250,176,3353,1040,2842,948,1322
Danforth,1824,10221,133,3814,652,2738,1039,1516
Long Branch,2004,10126,165,3712,920,3232,919,1341
Guildwood,2966,10052,132,2719,996,3022,1838,2475
University,1248,10016,92,5039,360,1856,796,1254
Kingsway South,1843,9772,66,2602,604,2902,1173,1919
Old East York,2070,9757,127,3187,830,2997,1113,1588
Pelmo Park-Humberlea,2270,8970,154,2862,975,2653,1141,1497
Regent Park,1469,8750,162,3454,803,2557,504,761
Lambton Baby Point,1390,8607,124,2793,597,2460,669,1056
Playter Estates-Danforth,1402,8374,107,3139,489,2368,806,1262
Blake-Jones,1205,8291,118,3227,582,2327,505,800
Woodbine-Lumsden,1530,8060,139,3038,675,2465,716,1086
Beechborough-Greenbrook,1608,7169,135,2438,675,1952,798,1008
