"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Currently hospitalized","Currently in ICU","count_hosp_covid_related","count_icu_covid_related","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"576",2021-10-02,14348,5577942,1285,302724,1078,241,NA,NA,2786,27,512,9.37
"577",2021-10-03,10445,5588387,1128,303852,1070,240,NA,NA,2799,13,441,11.19
"578",2021-10-04,8043,5596430,696,304548,1088,233,NA,NA,2814,15,393,9.06
"579",2021-10-05,15432,5611862,1262,305810,1087,230,NA,NA,2823,9,595,8.46
"580",2021-10-06,15642,5627504,1245,307055,1083,234,NA,NA,2835,12,633,8.34
"581",2021-10-07,14779,5642283,1267,308322,1075,236,NA,NA,2852,17,602,8.93
"582",2021-10-08,13998,5656281,1086,309408,1048,238,NA,NA,2866,14,510,8.03
"583",2021-10-09,11652,5667933,1041,310449,1013,224,NA,NA,2880,14,450,9.29
"584",2021-10-10,7745,5675678,637,311086,1043,226,NA,NA,2901,21,339,8.74
"585",2021-10-11,7368,5683046,602,311688,1038,222,NA,NA,2922,21,261,8.59
"586",2021-10-12,8651,5691697,652,312340,1021,217,NA,NA,2935,13,284,7.93
"587",2021-10-13,12754,5704451,930,313270,1004,215,NA,NA,2948,13,437,7.61
"588",2021-10-14,14079,5718530,1044,314314,988,212,NA,NA,2961,13,506,7.67
"589",2021-10-15,11647,5730177,772,315086,978,208,NA,NA,2978,17,381,6.97
"590",2021-10-16,11450,5741627,795,315881,956,202,NA,NA,2985,7,403,7.08
"591",2021-10-17,7184,5748811,608,316489,962,211,NA,NA,2995,10,274,8.76
"592",2021-10-18,8045,5756856,531,317020,951,204,NA,NA,3007,12,311,6.86
"593",2021-10-19,12133,5768989,807,317827,923,195,NA,NA,3017,10,437,6.83
"594",2021-10-20,11912,5780901,773,318600,897,189,NA,NA,3027,10,364,6.72
"595",2021-10-21,10750,5791651,666,319266,878,182,NA,NA,3033,6,321,6.23
"596",2021-10-22,10806,5802457,704,319970,846,181,NA,NA,3043,10,323,6.75
"597",2021-10-23,8704,5811161,522,320492,815,184,NA,NA,3056,13,267,6.19
"598",2021-10-24,6436,5817597,366,320858,812,170,NA,NA,3066,10,179,6.04
"599",2021-10-25,7798,5825395,458,321316,824,168,NA,NA,3074,8,242,6.09
"600",2021-10-26,11371,5836766,626,321942,798,167,NA,NA,3080,6,322,5.71
"601",2021-10-27,10291,5847057,541,322483,770,168,NA,NA,3093,13,269,5.47
"602",2021-10-28,10515,5857572,607,323090,755,162,NA,NA,3099,6,278,6.05
"603",2021-10-29,9399,5866971,530,323620,729,154,NA,NA,3108,9,286,5.95
"604",2021-10-30,8254,5875225,339,323959,691,147,NA,NA,3119,11,165,4.16
"605",2021-10-31,6725,5881950,341,324300,682,144,NA,NA,3124,5,155,5.25
"606",2021-11-01,7547,5889497,326,324626,684,148,NA,NA,3129,5,161,4.56
"607",2021-11-02,10363,5899860,489,325115,683,139,NA,NA,3135,6,261,4.97
"608",2021-11-03,12411,5912271,540,325655,664,133,NA,NA,3139,4,270,4.57
"609",2021-11-04,11509,5923780,468,326123,648,130,NA,NA,3144,5,218,4.24
"610",2021-11-05,11493,5935273,590,326713,647,127,NA,NA,3149,5,279,5.22
"611",2021-11-06,8973,5944246,433,327146,619,128,NA,NA,3157,8,211,4.98
"612",2021-11-07,5521,5949767,287,327433,596,123,NA,NA,3161,4,143,5.22
"613",2021-11-08,8341,5958108,426,327859,598,119,NA,NA,3168,7,190,5.25
"614",2021-11-09,11179,5969287,500,328359,574,115,NA,NA,3173,5,209,4.6
"615",2021-11-10,11593,5980880,468,328827,558,104,NA,NA,3179,6,229,4.16
"616",2021-11-11,8849,5989729,376,329203,543,98,NA,NA,3186,7,169,4.38
"617",2021-11-12,7982,5997711,435,329638,533,95,NA,NA,3187,1,194,5.78
"618",2021-11-13,7150,6004861,357,329995,518,92,NA,NA,3196,9,136,5.08
"619",2021-11-14,6688,6011549,289,330284,510,91,NA,NA,3201,5,143,4.53
"620",2021-11-15,6428,6017977,321,330605,514,92,NA,NA,3205,4,175,5.13
"621",2021-11-16,9745,6027722,416,331021,507,90,NA,NA,3207,2,183,4.39
"622",2021-11-17,8968,6036690,388,331409,499,83,NA,NA,3209,2,200,4.46
"623",2021-11-18,8688,6045378,417,331826,485,82,NA,NA,3213,4,204,4.98
"624",2021-11-19,9454,6054832,472,332298,473,85,NA,NA,3218,5,215,5.2
"625",2021-11-20,7621,6062453,379,332677,453,80,NA,NA,3220,2,175,5.2
"626",2021-11-21,4839,6067292,270,332947,459,85,NA,NA,3228,8,137,5.93
"627",2021-11-22,5326,6072618,271,333218,468,83,NA,NA,3230,2,144,5.43
"628",2021-11-23,10437,6083055,473,333691,462,84,NA,NA,3231,1,321,4.67
"629",2021-11-24,9618,6092673,397,334088,453,85,NA,NA,3234,3,341,4.29
"630",2021-11-25,8714,6101387,363,334451,453,78,NA,NA,3238,4,319,4.3
"631",2021-11-26,7489,6108876,323,334774,449,72,NA,NA,3243,5,274,4.65
"632",2021-11-27,6631,6115507,251,335025,434,68,NA,NA,3245,2,224,3.92
"633",2021-11-28,5058,6120565,231,335256,427,68,NA,NA,3249,4,194,4.82
"634",2021-11-29,5358,6125923,231,335487,431,71,NA,NA,3254,5,195,4.4
"635",2021-11-30,10767,6136690,433,335920,416,71,NA,NA,3257,3,399,4.14
"636",2021-12-01,9473,6146163,364,336284,412,69,NA,NA,3259,2,320,3.96
"637",2021-12-02,9705,6155868,342,336626,388,66,NA,NA,3262,3,303,3.61
"638",2021-12-03,8424,6164292,347,336973,380,62,NA,NA,3264,2,319,4.27
"639",2021-12-04,6957,6171249,247,337220,372,62,NA,NA,3267,3,225,3.61
"640",2021-12-05,5141,6176390,184,337404,383,66,NA,NA,3271,4,165,3.75
"641",2021-12-06,5491,6181881,234,337638,388,67,NA,NA,3273,2,206,4.46
"642",2021-12-07,10715,6192596,384,338022,380,60,NA,NA,3273,0,345,3.75
"643",2021-12-08,10056,6202652,354,338376,374,62,NA,NA,3274,1,320,3.68
"644",2021-12-09,9204,6211856,344,338720,375,64,NA,NA,3275,1,303,3.81
"645",2021-12-10,8538,6220394,312,339032,384,64,NA,NA,3277,2,277,3.87
"646",2021-12-11,6495,6226889,259,339291,369,62,NA,NA,3279,2,233,4.23
"647",2021-12-12,5765,6232654,201,339492,365,63,NA,NA,3280,1,177,3.82
"648",2021-12-13,6433,6239087,276,339768,376,64,NA,NA,3281,1,241,4.57
"649",2021-12-14,10116,6249203,444,340212,371,66,NA,NA,3285,4,381,4.63
"650",2021-12-15,9604,6258807,467,340679,361,63,NA,NA,3286,1,402,5.05
"651",2021-12-16,9712,6268519,546,341225,350,61,NA,NA,3288,2,502,5.82
"652",2021-12-17,10056,6278575,619,341844,340,60,NA,NA,3291,3,569,6.32
"653",2021-12-18,8711,6287286,710,342554,323,65,NA,NA,3294,3,641,8.33
"654",2021-12-19,6507,6293793,563,343117,330,63,NA,NA,3295,1,493,8.82
"655",2021-12-20,7305,6301098,790,343907,338,65,NA,NA,3297,2,718,11.02
"656",2021-12-21,11544,6312642,1354,345261,337,64,NA,NA,3299,2,1196,12.01
"657",2021-12-22,11893,6324535,1573,346834,331,63,NA,NA,3301,2,1423,13.55
"658",2021-12-23,11555,6336090,1969,348803,336,62,NA,NA,3303,2,1551,17.28
"659",2021-12-24,11465,6347555,2450,351253,324,57,NA,NA,3304,1,548,21.6
"660",2021-12-25,7238,6354793,1571,352824,321,54,NA,NA,3304,0,231,22.08
"661",2021-12-26,4074,6358867,687,353511,328,53,NA,NA,3307,3,239,17.45
"662",2021-12-27,6472,6365339,1377,354888,349,55,NA,NA,3310,3,334,21.72
"663",2021-12-28,9405,6374744,2769,357657,375,50,NA,NA,3313,3,532,29.92
"664",2021-12-29,13257,6388001,3969,361626,396,51,NA,NA,3315,2,692,30.41
"665",2021-12-30,13399,6401400,4344,365970,423,51,NA,NA,3318,3,756,32.92
"666",2021-12-31,12794,6414194,4337,370307,423,51,NA,NA,3319,1,996,34.6
"667",2022-01-01,9487,6423681,3197,373504,435,54,NA,NA,3322,3,736,34.49
"668",2022-01-02,7117,6430798,1957,375461,464,56,NA,NA,3326,4,734,28.27
"669",2022-01-03,8283,6439081,2935,378396,481,54,NA,NA,3331,5,795,36.29
"670",2022-01-04,12780,6451861,4680,383076,538,60,NA,NA,3334,3,1135,37.24
"671",2022-01-05,12380,6464241,4753,387829,565,65,NA,NA,3337,3,1307,39.18
"672",2022-01-06,16289,6480530,6125,393954,599,67,NA,NA,3341,4,1560,38.38
"673",2022-01-07,15105,6495635,6113,400067,666,72,NA,NA,3346,5,1315,41.58
"674",2022-01-08,16364,6511999,6149,406216,687,77,NA,NA,3350,4,1557,38.63
"675",2022-01-09,13976,6525975,5310,411526,732,76,NA,NA,3355,5,1337,38.97
"676",2022-01-10,12276,6538251,4622,416148,793,81,NA,NA,3365,10,1308,38.79
"677",2022-01-11,17918,6556169,6761,422909,828,84,NA,NA,3374,9,2318,38.67
"678",2022-01-12,14498,6570667,5846,428755,865,80,NA,NA,3383,9,1542,41.5
"679",2022-01-13,16712,6587379,6229,434984,917,82,NA,NA,3395,12,2018,38.31
"680",2022-01-14,16246,6603625,6090,441074,974,83,NA,NA,3404,9,1993,38.67
"681",2022-01-15,15440,6619065,5345,446419,1000,92,NA,NA,3409,5,1712,35.63
"682",2022-01-16,11237,6630302,4131,450550,1077,99,NA,NA,3418,9,1405,37.95
"683",2022-01-17,9098,6639400,3514,454064,1163,104,NA,NA,3428,10,1953,39.26
"684",2022-01-18,10135,6649535,3770,457834,1182,111,NA,NA,3437,9,1711,38.33
"685",2022-01-19,11122,6660657,3628,461462,1223,113,NA,NA,3444,7,1551,33.53
"686",2022-01-20,10668,6671325,3680,465142,1285,110,NA,NA,3459,15,1752,35.78
"687",2022-01-21,10407,6681732,3872,469014,1330,107,NA,NA,3478,19,1959,38.45
"688",2022-01-22,7934,6689666,2616,471630,1343,107,NA,NA,3490,12,1335,34.18
"689",2022-01-23,4771,6694437,1686,473316,1404,111,NA,NA,3504,14,991,36.89
"690",2022-01-24,6791,6701228,2836,476152,1483,113,NA,NA,3520,16,1323,43.37
"691",2022-01-25,9044,6710272,3338,479490,1520,110,NA,NA,3532,12,1740,37.72
"692",2022-01-26,9404,6719676,3229,482719,1574,109,NA,NA,3545,13,1704,34.93
"693",2022-01-27,8740,6728416,3074,485793,1577,107,NA,NA,3557,12,1623,36.44
"694",2022-01-28,8473,6736889,2946,488739,1581,105,NA,NA,3571,14,1486,35.78
"695",2022-01-29,5919,6742808,1823,490562,1551,103,NA,NA,3582,11,1101,32.32
"696",2022-01-30,5080,6747888,1733,492295,1581,103,NA,NA,3598,16,1058,35.51
"697",2022-01-31,5053,6752941,2013,494308,1655,111,NA,NA,3614,16,938,40.59
"698",2022-02-01,7688,6760629,3034,497342,1667,107,754,62,3625,11,1411,40.26
"699",2022-02-02,7372,6768001,2473,499815,1647,114,757,70,3643,18,1330,34.54
"700",2022-02-03,6274,6774275,2089,501904,1640,122,759,80,3662,19,1171,34.09
"701",2022-02-04,6449,6780724,2021,503925,1623,122,752,81,3674,12,1015,32.14
"702",2022-02-05,4794,6785518,1374,505299,1574,117,733,82,3688,14,842,29.85
"703",2022-02-06,3594,6789112,1121,506420,1611,119,764,87,3702,14,647,32.58
"704",2022-02-07,4295,6793407,1536,507956,1677,130,817,92,3711,9,720,36.74
"705",2022-02-08,5789,6799196,1799,509755,1662,135,823,97,3724,13,836,32.22
"706",2022-02-09,5014,6804210,1462,511217,1636,128,801,93,3743,19,752,29.62
"707",2022-02-10,4794,6809004,1403,512620,1603,127,797,92,3758,15,774,30.35
"708",2022-02-11,4352,6813356,1099,513719,1590,119,796,91,3771,13,583,25.21
"709",2022-02-12,3474,6816830,851,514570,1549,122,784,91,3784,13,431,25.07
"710",2022-02-13,2449,6819279,634,515204,1559,122,793,87,3795,11,331,27.11
"711",2022-02-14,2527,6821806,857,516061,1577,123,819,90,3803,8,404,34.55
"712",2022-02-15,4144,6825950,1042,517103,1546,121,803,88,3820,17,530,24.93
"713",2022-02-16,4081,6830031,960,518063,1525,116,791,83,3828,8,542,24.19
"714",2022-02-17,3793,6833824,799,518862,1529,118,783,86,3842,14,409,21.99
"715",2022-02-18,3417,6837241,739,519601,1489,121,764,89,3850,8,403,22.62
"716",2022-02-19,2591,6839832,472,520073,1424,108,741,83,3858,8,238,19.72
"717",2022-02-20,1985,6841817,465,520538,1414,96,738,75,3870,12,248,24.69
"718",2022-02-21,2008,6843825,454,520992,1415,94,737,73,3879,9,250,24.85
"719",2022-02-22,2794,6846619,752,521744,1399,92,729,69,3883,4,341,27.06
"720",2022-02-23,3458,6850077,737,522481,1380,92,714,71,3894,11,487,22.12
"721",2022-02-24,3189,6853266,657,523138,1323,88,660,70,3900,6,445,21.42
"722",2022-02-25,3119,6856385,599,523737,1312,77,663,63,3912,12,399,19.14
"723",2022-02-26,2461,6858846,466,524203,1249,75,637,59,3920,8,347,19.91
"724",2022-02-27,1847,6860693,376,524579,1256,81,643,63,3929,9,255,21.33
"725",2022-02-28,2076,6862769,517,525096,1277,81,646,62,3936,7,335,25.53
"726",2022-03-01,2946,6865715,547,525643,1262,82,648,60,3941,5,390,19.42
"727",2022-03-02,2863,6868578,634,526277,1234,78,634,59,3953,12,458,21.94
"728",2022-03-03,2532,6871110,493,526770,1200,75,619,58,3961,8,357,20.34
"729",2022-03-04,2458,6873568,424,527194,1182,74,609,56,3971,10,279,17.86
"730",2022-03-05,2179,6875747,397,527591,1119,73,569,58,3974,3,327,19
"731",2022-03-06,1573,6877320,284,527875,1130,75,567,59,3982,8,214,19.33
"732",2022-03-07,2210,6879530,472,528347,1136,75,571,57,3984,2,299,20.77
"733",2022-03-08,3085,6882615,539,528886,1121,77,559,58,3988,4,416,18.09
"734",2022-03-09,3097,6885712,580,529466,1100,76,542,58,3996,8,416,21.02
"735",2022-03-10,2540,6888252,470,529936,1088,75,542,59,4001,5,328,19.49
"736",2022-03-11,2298,6890550,504,530440,1065,77,536,64,4005,4,370,22.41
"737",2022-03-12,2502,6893052,395,530835,1017,75,508,63,4010,5,287,16.87
"738",2022-03-13,1986,6895038,438,531273,1013,72,503,60,4014,4,336,23.11
"739",2022-03-14,1862,6896900,475,531748,1024,69,511,58,4018,4,295,26.32
"740",2022-03-15,3186,6900086,578,532326,1011,68,510,55,4021,3,432,18.58
"741",2022-03-16,2751,6902837,568,532894,995,64,502,49,4023,2,418,21.56
"742",2022-03-17,2950,6905787,605,533499,995,59,505,45,4026,3,419,20.68
"743",2022-03-18,2576,6908363,564,534063,974,56,482,40,4034,8,436,22.59
"744",2022-03-19,2433,6910796,479,534542,945,55,477,41,4040,6,409,20.84
"745",2022-03-20,1491,6912287,343,534885,968,56,495,45,4045,5,298,24.48
"746",2022-03-21,1860,6914147,485,535370,987,54,506,44,4053,8,413,27.69
"747",2022-03-22,3217,6917364,769,536139,976,57,491,48,4055,2,616,24.9
"748",2022-03-23,3171,6920535,740,536879,960,58,488,50,4059,4,604,24.94
"749",2022-03-24,3492,6924027,819,537698,966,50,498,44,4061,2,637,23.2
"750",2022-03-25,2785,6926812,691,538389,959,50,490,43,4066,5,550,26.21
"751",2022-03-26,2505,6929317,529,538918,931,43,473,36,4070,4,459,21.88
"752",2022-03-27,1777,6931094,459,539377,953,45,499,37,4074,4,399,27.52
"753",2022-03-28,2210,6933304,570,539947,1006,44,531,37,4081,7,446,26.11
"754",2022-03-29,3472,6936776,873,540820,996,44,525,37,4085,4,758,26.18
"755",2022-03-30,3460,6940236,867,541687,993,43,526,36,4088,3,738,25.9
"756",2022-03-31,3529,6943765,909,542596,974,37,516,31,4092,4,820,26.78
"757",2022-04-01,3619,6947384,859,543455,956,38,502,32,4098,6,668,24.34
"758",2022-04-02,2825,6950209,664,544119,943,39,500,32,4102,4,559,24.53
"759",2022-04-03,1955,6952164,520,544639,981,39,526,33,4105,3,459,27.57
"760",2022-04-04,2591,6954755,823,545462,1032,42,565,35,4111,6,674,32.57
"761",2022-04-05,3896,6958651,1031,546493,1053,45,579,37,4119,8,871,27.77
"762",2022-04-06,3642,6962293,1010,547503,1061,50,578,40,4122,3,870,28.61
"763",2022-04-07,3887,6966180,919,548422,1063,50,592,37,4130,8,783,24.83
"764",2022-04-08,3660,6969840,932,549354,1066,48,591,32,4138,8,821,26.42
"765",2022-04-09,3405,6973245,822,550176,1050,49,582,32,4141,3,736,24.79
"766",2022-04-10,2243,6975488,591,550767,1081,47,605,34,4145,4,515,27.37
"767",2022-04-11,2845,6978333,839,551606,1104,48,627,38,4150,5,646,30.58
"768",2022-04-12,4434,6982767,1012,552618,1116,50,643,40,4157,7,900,23.91
"769",2022-04-13,4441,6987208,1024,553642,1105,49,619,36,4165,8,878,23.82
"770",2022-04-14,4083,6991291,1023,554665,1104,45,628,32,4172,7,904,25.89
"771",2022-04-15,4217,6995508,846,555511,1094,46,621,33,4179,7,757,21.08
"772",2022-04-16,2717,6998225,739,556250,1098,47,625,36,4189,10,648,28.27
"773",2022-04-17,2260,7000485,637,556887,1143,42,648,32,4196,7,558,29.96
"774",2022-04-18,2715,7003200,812,557699,1189,47,672,34,4202,6,691,31.01
"775",2022-04-19,4466,7007666,1124,558823,1203,49,681,37,4208,6,928,26.15
"776",2022-04-20,4938,7012604,1228,560051,1207,50,682,38,4215,7,1031,26.08
"777",2022-04-21,4487,7017091,1038,561089,1223,47,687,36,4226,11,889,24.05
"778",2022-04-22,3610,7020701,968,562057,1242,46,704,38,4237,11,803,27.45
"779",2022-04-23,3590,7024291,838,562895,1218,48,686,41,4252,15,749,24.76
"780",2022-04-24,2912,7027203,677,563572,1252,48,700,37,4258,6,584,24.11
"781",2022-04-25,2330,7029533,700,564272,1301,54,716,41,4269,11,531,31.33
"782",2022-04-26,4839,7034372,1078,565350,1305,54,715,44,4277,8,920,23.52
"783",2022-04-27,4000,7038372,942,566292,1299,54,699,39,4287,10,790,24.5
"784",2022-04-28,4488,7042860,918,567210,1274,51,682,38,4297,10,759,21.23
"785",2022-04-29,3704,7046564,756,567966,1262,49,682,39,4310,13,628,21.63
"786",2022-04-30,3488,7050052,726,568692,1226,44,655,37,4315,5,615,22.02
"787",2022-05-01,2260,7052312,609,569301,1276,45,685,38,4328,13,525,28.1
"788",2022-05-02,2966,7055278,671,569972,1335,49,711,38,4333,5,531,23.63
"789",2022-05-03,3628,7058906,756,570728,1346,55,720,42,4342,9,632,21.91
"790",2022-05-04,3843,7062749,772,571500,1307,50,704,40,4353,11,669,20.63
"791",2022-05-05,3961,7066710,777,572277,1300,47,702,38,4361,8,632,20.47
"792",2022-05-06,3691,7070401,690,572967,1270,43,673,36,4371,10,569,19.56
"793",2022-05-07,2851,7073252,590,573557,1217,38,640,30,4377,6,505,21.29
"794",2022-05-08,841,7074093,134,573691,1244,38,652,29,4386,9,103,17
"795",2022-05-09,3225,7077318,821,574512,1275,40,666,28,4392,6,655,26.79
"796",2022-05-10,3156,7080474,653,575165,1262,41,649,29,4403,11,535,21.67
"797",2022-05-11,3135,7083609,585,575750,1236,37,621,29,4411,8,467,19.52
"798",2022-05-12,3203,7086812,602,576352,1220,36,617,26,4423,12,471,19.29
"799",2022-05-13,2348,7089160,470,576822,1196,39,611,30,4429,6,388,20.87
"800",2022-05-14,2635,7091795,450,577272,1169,38,597,28,4436,7,374,17.69
"801",2022-05-15,1846,7093641,354,577626,1182,41,602,29,4444,8,292,19.99
"802",2022-05-16,2125,7095766,480,578106,1209,42,613,28,4451,7,374,23.15
"803",2022-05-17,3277,7099043,546,578652,1214,39,611,26,4462,11,436,18.31
"804",2022-05-18,2357,7101400,469,579121,1184,37,588,25,4469,7,373,20.62
"805",2022-05-19,2847,7104247,492,579613,1171,37,584,25,4475,6,382,19.11
"806",2022-05-20,2280,7106527,355,579968,1094,34,543,25,4480,5,270,15.88
"807",2022-05-21,2219,7108746,291,580259,1063,31,525,24,4489,9,234,13.84
"808",2022-05-22,1495,7110241,231,580490,1064,30,529,23,4499,10,182,15.99
"809",2022-05-23,1648,7111889,320,580810,1078,31,540,24,4503,4,263,20.75
"810",2022-05-24,1868,7113757,389,581199,1096,31,545,24,4510,7,298,21.25
"811",2022-05-25,2958,7116715,453,581652,1072,26,536,21,4515,5,345,16.02
"812",2022-05-26,2205,7118920,363,582015,1030,32,512,24,4520,5,294,17.05
"813",2022-05-27,2172,7121092,341,582356,1000,35,491,28,4525,5,267,17.08
"814",2022-05-28,1813,7122905,259,582615,957,33,468,27,4526,1,208,14.89
"815",2022-05-29,799,7123704,88,582703,948,34,474,26,4531,5,72,12.89
"816",2022-05-30,2124,7125828,438,583141,950,34,483,26,4539,8,319,21.99
"817",2022-05-31,2359,7128187,357,583498,942,32,475,25,4544,5,270,15.68
"818",2022-06-01,2068,7130255,271,583769,904,33,452,25,4547,3,234,13.78
"819",2022-06-02,1989,7132244,298,584067,870,32,436,23,4547,0,241,15.28
"820",2022-06-03,1855,7134099,266,584333,863,32,433,23,4553,6,204,15.2
"821",2022-06-04,1463,7135562,195,584528,827,30,418,21,4563,10,153,13.47
"822",2022-06-05,1149,7136711,187,584715,828,28,417,21,4566,3,143,17.23
"823",2022-06-06,1394,7138105,232,584947,843,25,419,19,4568,2,154,17.43
"824",2022-06-07,2071,7140176,290,585237,820,22,412,18,4570,2,225,14.29
"825",2022-06-08,2099,7142275,263,585500,791,22,396,20,4574,4,190,12.77
"826",2022-06-09,1772,7144047,246,585746,770,19,378,16,4577,3,197,14.16
"827",2022-06-10,1327,7145374,183,585929,766,22,377,17,4579,2,144,14.32
"828",2022-06-11,1211,7146585,142,586071,741,25,367,20,4580,1,112,12.88
"829",2022-06-12,1285,7147870,146,586217,734,22,365,17,4584,4,115,11.83
"830",2022-06-13,1242,7149112,163,586380,738,19,368,13,4586,2,126,13.77
"831",2022-06-14,1527,7150639,206,586586,718,21,362,12,4587,1,144,14.01
"832",2022-06-15,1775,7152414,184,586770,705,21,356,12,4588,1,139,10.76
"833",2022-06-16,1218,7153632,146,586916,690,17,346,8,4588,0,119,12.32
"834",2022-06-17,1521,7155153,176,587092,677,14,345,8,4588,0,124,12.49
"835",2022-06-18,1231,7156384,162,587254,662,18,342,11,4593,5,130,14.3
"836",2022-06-19,734,7157118,66,587320,665,17,346,10,4597,4,51,8.86
"837",2022-06-20,949,7158067,138,587458,681,18,350,11,4599,2,112,15.91
"838",2022-06-21,1409,7159476,179,587637,673,20,351,13,4602,3,138,13.48
"839",2022-06-22,1394,7160870,153,587790,659,15,344,9,4605,3,116,11.33
"840",2022-06-23,1419,7162289,127,587917,650,17,338,12,4608,3,108,10.22
"841",2022-06-24,1067,7163356,132,588049,631,15,324,10,4612,4,92,13.12
"842",2022-06-25,1110,7164466,121,588170,608,15,309,8,4614,2,101,11.44
