"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Currently hospitalized","Currently in ICU","count_hosp_covid_related","count_icu_covid_related","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"843",2022-06-26,824,7165290,92,588262,604,15,310,8,4615,1,77,11.65
"844",2022-06-27,1036,7166326,128,588390,601,13,303,7,4616,1,95,13.42
"845",2022-06-28,1372,7167698,166,588556,583,14,288,8,4617,1,141,12.54
"846",2022-06-29,1459,7169157,174,588730,575,14,289,7,4619,2,135,13.5
"847",2022-06-30,1103,7170260,197,588927,561,16,277,7,4621,2,149,18.77
"848",2022-07-01,1016,7171276,156,589083,554,15,280,8,4625,4,129,16.04
"849",2022-07-02,830,7172106,125,589208,563,17,293,8,4625,0,102,16.27
"850",2022-07-03,922,7173028,114,589322,570,19,302,10,4628,3,96,13.23
"851",2022-07-04,1122,7174150,180,589502,591,23,313,13,4629,1,154,17.65
"852",2022-07-05,1298,7175448,247,589749,594,19,315,10,4633,4,200,20.18
"853",2022-07-06,1130,7176578,188,589937,574,21,295,9,4634,1,152,17.26
"854",2022-07-07,1204,7177782,230,590167,572,21,294,10,4637,3,187,20.51
"855",2022-07-08,1089,7178871,190,590357,562,18,292,10,4639,2,157,18.64
"856",2022-07-09,1087,7179958,191,590548,543,19,285,11,4643,4,163,17.85
"857",2022-07-10,782,7180740,131,590679,554,16,293,9,4644,1,110,18.16
"858",2022-07-11,980,7181720,176,590855,572,17,304,10,4648,4,143,19.08
"859",2022-07-12,1154,7182874,250,591105,561,22,291,13,4649,1,211,22.44
"860",2022-07-13,1364,7184238,264,591369,549,25,283,14,4650,1,208,19.72
"861",2022-07-14,1082,7185320,235,591604,551,25,280,15,4653,3,165,22.37
"862",2022-07-15,1134,7186454,245,591849,553,20,280,12,4655,2,198,22.66
"863",2022-07-16,1001,7187455,205,592054,560,22,281,14,4656,1,180,21.98
"864",2022-07-17,892,7188347,179,592233,577,26,295,18,4657,1,150,20.74
"865",2022-07-18,1060,7189407,303,592536,601,27,313,21,4658,1,196,29.53
"866",2022-07-19,1405,7190812,320,592856,594,27,316,22,4660,2,250,23.99
"867",2022-07-20,1218,7192030,264,593120,590,25,316,21,4663,3,204,23.15
"868",2022-07-21,1140,7193170,275,593395,591,21,311,17,4665,2,185,25.35
"869",2022-07-22,1072,7194242,217,593612,605,23,316,18,4667,2,166,22.39
"870",2022-07-23,1031,7195273,232,593844,623,24,327,20,4670,3,188,24.44
"871",2022-07-24,784,7196057,162,594006,654,26,338,22,4671,1,114,21.94
"872",2022-07-25,949,7197006,217,594223,685,27,355,21,4677,6,169,24.24
"873",2022-07-26,1317,7198323,297,594520,704,25,358,20,4681,4,229,23.84
"874",2022-07-27,1292,7199615,237,594757,712,25,357,20,4683,2,185,19.35
"875",2022-07-28,1179,7200794,252,595009,738,22,369,16,4687,4,199,23.24
"876",2022-07-29,1336,7202130,308,595317,737,22,363,16,4689,2,190,24.48
"877",2022-07-30,929,7203059,198,595515,724,21,349,16,4691,2,145,22.39
"878",2022-07-31,766,7203825,150,595665,738,26,358,21,4702,11,109,22.06
"879",2022-08-01,950,7204775,212,595877,749,28,360,22,4705,3,174,24.11
"880",2022-08-02,1159,7205934,246,596123,770,26,376,20,4708,3,171,23.3
"881",2022-08-03,1483,7207417,332,596455,756,24,365,17,4711,3,275,24.14
"882",2022-08-04,1149,7208566,266,596721,771,23,364,13,4713,2,203,24.89
"883",2022-08-05,1146,7209712,257,596978,771,32,356,17,4715,2,192,24
"884",2022-08-06,1069,7210781,245,597223,761,29,346,17,4722,7,171,23.67
"885",2022-08-07,924,7211705,212,597435,777,27,349,15,4723,1,146,24.03
"886",2022-08-08,916,7212621,215,597650,806,29,363,16,4729,6,148,26.2
"887",2022-08-09,1258,7213879,277,597927,788,30,359,19,4734,5,201,24.32
"888",2022-08-10,1234,7215113,247,598174,794,31,361,21,4735,1,192,22.45
"889",2022-08-11,1168,7216281,271,598445,804,32,358,19,4739,4,202,25.09
"890",2022-08-12,1248,7217529,278,598723,808,30,360,19,4740,1,197,25.32
"891",2022-08-13,1156,7218685,233,598956,802,31,357,19,4741,1,175,21.37
"892",2022-08-14,848,7219533,126,599082,828,30,376,18,4746,5,95,17.57
"893",2022-08-15,943,7220476,202,599284,865,31,401,19,4748,2,142,24.07
"894",2022-08-16,1267,7221743,313,599597,871,32,414,19,4752,4,221,26.36
"895",2022-08-17,1180,7222923,231,599828,894,34,430,21,4757,5,175,21.44
"896",2022-08-18,1297,7224220,272,600100,863,27,406,15,4763,6,200,22.36
"897",2022-08-19,971,7225191,192,600292,851,30,402,18,4769,6,134,21.11
"898",2022-08-20,841,7226032,193,600485,851,25,395,14,4776,7,157,25.92
"899",2022-08-21,896,7226928,205,600690,858,25,392,15,4780,4,137,25.33
"900",2022-08-22,813,7227741,157,600847,896,29,409,18,4783,3,117,20.17
"901",2022-08-23,1349,7229090,260,601107,903,30,414,19,4786,3,204,21.05
"902",2022-08-24,1172,7230262,241,601348,892,31,401,19,4789,3,156,22.27
"903",2022-08-25,1312,7231574,187,601535,888,26,402,17,4793,4,120,15.32
"904",2022-08-26,1186,7232760,166,601701,884,34,396,22,4797,4,122,16.86
"905",2022-08-27,962,7233722,184,601885,857,29,382,21,4803,6,124,20.89
"906",2022-08-28,868,7234590,164,602049,866,26,388,20,4810,7,114,20.97
"907",2022-08-29,774,7235364,141,602190,879,20,394,16,4820,10,108,19.9
"908",2022-08-30,1071,7236435,170,602360,870,21,382,17,4825,5,123,17.83
"909",2022-08-31,1251,7237686,199,602559,839,20,355,14,4833,8,140,17.59
"910",2022-09-01,1028,7238714,174,602733,836,19,347,10,4835,2,121,18.68
"911",2022-09-02,1029,7239743,149,602882,825,22,345,12,4836,1,88,16.52
"912",2022-09-03,902,7240645,140,603022,796,21,334,13,4840,4,99,17.41
"913",2022-09-04,785,7241430,118,603140,801,22,338,14,4842,2,91,17.32
"914",2022-09-05,725,7242155,114,603254,832,20,362,13,4844,2,81,16.97
"915",2022-09-06,913,7243068,116,603370,845,17,362,10,4845,1,77,13.69
"916",2022-09-07,1185,7244253,214,603584,841,17,362,9,4854,9,156,19.07
"917",2022-09-08,928,7245181,175,603759,844,17,361,9,4855,1,139,20.58
"918",2022-09-09,1154,7246335,178,603937,831,18,361,10,4858,3,115,15.94
"919",2022-09-10,874,7247209,129,604066,818,20,355,12,4861,3,102,15.33
"920",2022-09-11,785,7247994,127,604193,821,27,356,16,4867,6,90,17.83
"921",2022-09-12,789,7248783,141,604334,865,26,374,15,4871,4,115,19.26
"922",2022-09-13,1240,7250023,228,604562,866,23,366,13,4875,4,165,20.48
"923",2022-09-14,1211,7251234,190,604752,875,21,374,13,4879,4,123,17.51
"924",2022-09-15,1076,7252310,201,604953,871,21,374,12,4880,1,150,20.54
"925",2022-09-16,945,7253255,169,605122,887,26,376,16,4883,3,123,19.47
"926",2022-09-17,922,7254177,190,605312,882,28,368,17,4888,5,140,21.8
"927",2022-09-18,826,7255003,134,605446,901,27,375,17,4893,5,84,18.16
"928",2022-09-19,942,7255945,197,605643,936,29,388,19,4897,4,147,23.14
"929",2022-09-20,1234,7257179,175,605818,948,28,388,19,4902,5,132,15.96
"930",2022-09-21,1229,7258408,257,606075,953,30,381,21,4905,3,198,23.68
"931",2022-09-22,1351,7259759,247,606322,972,32,394,23,4909,4,191,20.73
"932",2022-09-23,1101,7260860,193,606515,979,37,399,25,4912,3,127,19.26
"933",2022-09-24,1038,7261898,208,606723,984,38,405,26,4917,5,159,21.58
"934",2022-09-25,995,7262893,154,606877,1013,38,410,23,4926,9,108,17.69
"935",2022-09-26,1040,7263933,175,607052,1030,40,415,25,4931,5,132,18.17
"936",2022-09-27,1309,7265242,271,607323,1017,41,414,25,4934,3,209,23.15
"937",2022-09-28,1257,7266499,206,607529,1019,41,413,24,4938,4,136,17.9
"938",2022-09-29,1243,7267742,249,607778,1026,38,414,21,4944,6,174,22.69
"939",2022-09-30,982,7268724,168,607946,1035,33,430,20,4947,3,130,18.43
"940",2022-10-01,970,7269694,167,608113,1026,27,426,16,4949,2,113,18.25
"941",2022-10-02,958,7270652,169,608282,1037,33,433,18,4953,4,138,17.95
"942",2022-10-03,1070,7271722,189,608471,1054,33,443,16,4957,4,141,17.57
"943",2022-10-04,1152,7272874,268,608739,1054,32,445,15,4965,8,215,26.74
"944",2022-10-05,1028,7273902,180,608919,1041,31,431,14,4968,3,153,22.28
"945",2022-10-06,1436,7275338,212,609131,1030,30,425,15,4974,6,172,17.06
"946",2022-10-07,1251,7276589,182,609313,1014,31,425,16,4978,4,143,15.67
"947",2022-10-08,958,7277547,168,609481,1017,29,440,16,4983,5,144,19.62
"948",2022-10-09,798,7278345,145,609626,1027,28,447,14,4989,6,116,20.18
"949",2022-10-10,855,7279200,135,609761,1053,30,459,16,4992,3,98,17.43
"950",2022-10-11,1102,7280302,172,609933,1093,32,487,20,4997,5,129,16.42
"951",2022-10-12,1217,7281519,225,610158,1103,30,485,19,5001,4,172,20.05
"952",2022-10-13,1205,7282724,258,610416,1101,30,489,20,5007,6,198,23.65
"953",2022-10-14,1399,7284123,220,610636,1100,33,491,20,5013,6,174,17.66
"954",2022-10-15,1013,7285136,163,610799,1069,37,482,23,5016,3,128,17.97
"955",2022-10-16,944,7286080,183,610982,1098,35,495,22,5022,6,141,20.76
"956",2022-10-17,1012,7287092,159,611141,1114,32,504,19,5025,3,122,16.9
"957",2022-10-18,1394,7288486,234,611375,1122,30,504,17,5034,9,190,18.22
"958",2022-10-19,1228,7289714,237,611612,1133,31,509,20,5038,4,197,21.91
"959",2022-10-20,1302,7291016,234,611846,1117,33,505,22,5044,6,193,20.66
"960",2022-10-21,1301,7292317,202,612048,1123,32,507,20,5047,3,178,18.06
"961",2022-10-22,833,7293150,158,612206,1111,30,497,18,5056,9,117,20.53
"962",2022-10-23,1196,7294346,191,612397,1128,30,509,18,5065,9,156,17.64
"963",2022-10-24,1214,7295560,191,612588,1163,30,521,18,5069,4,148,16.64
"964",2022-10-25,1363,7296923,226,612814,1162,28,526,17,5075,6,175,18.05
"965",2022-10-26,1106,7298029,148,612962,1141,28,507,18,5080,5,108,14.74
"966",2022-10-27,1397,7299426,247,613209,1127,28,500,18,5088,8,190,19.33
"967",2022-10-28,1068,7300494,145,613354,1111,28,492,18,5094,6,123,16.1
"968",2022-10-29,1167,7301661,194,613548,1093,27,479,14,5099,5,155,17.91
"969",2022-10-30,938,7302599,155,613703,1111,25,492,13,5102,3,114,17.8
"970",2022-10-31,1120,7303719,156,613859,1130,25,503,13,5107,5,122,15.54
"971",2022-11-01,1464,7305183,264,614123,1140,25,512,14,5110,3,200,19.33
"972",2022-11-02,1142,7306325,193,614316,1130,29,505,16,5118,8,150,18.3
"973",2022-11-03,1858,7308183,236,614552,1146,27,512,17,5124,6,164,14.26
"974",2022-11-04,1209,7309392,202,614754,1128,28,505,18,5129,5,160,18.86
"975",2022-11-05,1392,7310784,190,614944,1107,31,502,18,5135,6,145,15.45
"976",2022-11-06,992,7311776,138,615082,1113,37,498,19,5140,5,102,14.62
"977",2022-11-07,1345,7313121,175,615257,1144,41,506,19,5146,6,121,15.32
"978",2022-11-08,1415,7314536,230,615487,1152,34,517,13,5154,8,176,18.09
"979",2022-11-09,1491,7316027,181,615668,1124,33,507,15,5162,8,139,14.22
"980",2022-11-10,1672,7317699,241,615909,1119,30,506,15,5167,5,189,16.03
"981",2022-11-11,1156,7318855,150,616059,1126,35,501,16,5171,4,117,14.62
"982",2022-11-12,1289,7320144,198,616257,1138,37,516,17,5175,4,146,16.91
"983",2022-11-13,1230,7321374,160,616417,1172,41,535,18,5180,5,130,14.8
"984",2022-11-14,1370,7322744,177,616594,1197,43,546,19,5184,4,142,13.58
"985",2022-11-15,1782,7324526,260,616854,1170,45,525,22,5195,11,202,16.05
"986",2022-11-16,1829,7326355,244,617098,1170,47,517,21,5202,7,172,15.36
"987",2022-11-17,1469,7327824,174,617272,1156,49,510,23,5214,12,134,13.27
"988",2022-11-18,1258,7329082,154,617426,1135,47,487,22,5230,16,122,13.91
"989",2022-11-19,1544,7330626,207,617633,1109,43,476,21,5233,3,160,14.64
"990",2022-11-20,1148,7331774,129,617762,1130,39,481,20,5236,3,92,13.07
"991",2022-11-21,1335,7333109,187,617949,1179,40,508,23,5241,5,122,15.28
"992",2022-11-22,1573,7334682,181,618130,1188,44,511,24,5248,7,142,12.52
"993",2022-11-23,1947,7336629,274,618404,1182,49,504,27,5254,6,220,15.92
"994",2022-11-24,1478,7338107,203,618607,1171,48,498,26,5260,6,161,15.97
"995",2022-11-25,1385,7339492,205,618812,1132,48,491,26,5269,9,144,15.96
"996",2022-11-26,1467,7340959,185,618997,1097,45,482,22,5276,7,149,13.63
"997",2022-11-27,1125,7342084,131,619128,1110,45,491,24,5281,5,91,12.71
"998",2022-11-28,1043,7343127,123,619251,1135,47,506,27,5289,8,94,12.66
"999",2022-11-29,1569,7344696,213,619464,1115,45,491,25,5297,8,168,14.53
"1000",2022-11-30,1023,7345719,152,619616,1105,41,473,21,5307,10,121,16.91
"1001",2022-12-01,1590,7347309,227,619843,1103,40,474,21,5308,1,162,15.91
"1002",2022-12-02,1111,7348420,139,619982,1092,40,472,20,5314,6,101,14.04
"1003",2022-12-03,1159,7349579,168,620150,1052,41,447,21,5318,4,128,16.57
"1004",2022-12-04,965,7350544,120,620270,1077,40,457,23,5318,0,91,13.16
"1005",2022-12-05,1075,7351619,117,620387,1097,41,464,22,5321,3,82,12
"1006",2022-12-06,1294,7352913,171,620558,1087,41,465,24,5325,4,131,14.76
"1007",2022-12-07,1254,7354167,166,620724,1077,43,464,27,5331,6,126,14.59
"1008",2022-12-08,1145,7355312,205,620929,1070,40,461,25,5335,4,160,19.21
"1009",2022-12-09,1331,7356643,166,621095,1055,46,460,27,5338,3,130,14.2
"1010",2022-12-10,733,7357376,101,621196,1022,46,441,28,5345,7,80,16.23
"1011",2022-12-11,317,7357693,26,621222,1024,40,444,26,5350,5,18,9.15
"1012",2022-12-12,1809,7359502,202,621424,1038,43,457,27,5358,8,148,12
"1013",2022-12-13,1212,7360714,185,621609,1017,41,436,23,5360,2,140,16.01
"1014",2022-12-14,1085,7361799,144,621753,993,39,417,21,5363,3,115,15.39
"1015",2022-12-15,1232,7363031,156,621909,975,37,415,19,5367,4,118,14.12
"1016",2022-12-16,935,7363966,111,622020,969,41,412,20,5372,5,77,12.62
"1017",2022-12-17,1059,7365025,139,622159,926,38,386,22,5376,4,113,14.45
"1018",2022-12-18,634,7365659,79,622238,934,30,393,20,5381,5,58,14.2
"1019",2022-12-19,1072,7366731,107,622345,959,35,408,23,5385,4,71,10.82
"1020",2022-12-20,1133,7367864,166,622511,951,39,406,26,5389,4,127,15.98
"1021",2022-12-21,871,7368735,112,622623,915,35,386,25,5393,4,85,14.35
"1022",2022-12-22,1085,7369820,152,622775,889,30,379,19,5397,4,113,14.56
"1023",2022-12-23,740,7370560,97,622872,875,35,376,23,5402,5,76,14.59
"1024",2022-12-24,717,7371277,110,622982,849,33,366,22,5405,3,87,16.88
"1025",2022-12-25,702,7371979,81,623063,850,38,375,23,5407,2,64,12.82
"1026",2022-12-26,585,7372564,88,623151,883,41,397,25,5414,7,70,17.44
"1027",2022-12-27,737,7373301,128,623279,894,43,405,27,5417,3,95,18.86
"1028",2022-12-28,813,7374114,125,623404,910,43,424,27,5424,7,99,16.73
"1029",2022-12-29,1308,7375422,201,623605,922,39,438,22,5425,1,158,17.58
"1030",2022-12-30,832,7376254,124,623729,927,41,448,24,5426,1,85,16.11
"1031",2022-12-31,896,7377150,123,623852,923,41,446,24,5430,4,91,14.62
"1032",2023-01-01,669,7377819,104,623956,942,42,453,22,5433,3,74,17.19
"1033",2023-01-02,710,7378529,119,624075,961,45,464,23,5434,1,85,18.73
"1034",2023-01-03,1189,7379718,156,624231,963,48,466,24,5437,3,119,14.05
"1035",2023-01-04,975,7380693,146,624377,966,43,469,26,5439,2,111,16.62
"1036",2023-01-05,1069,7381762,182,624559,951,35,457,23,5445,6,135,17.77
"1037",2023-01-06,1041,7382803,134,624693,924,34,439,24,5449,4,99,14.89
"1038",2023-01-07,898,7383701,127,624820,901,33,422,21,5453,4,101,15.59
"1039",2023-01-08,738,7384439,121,624941,905,32,424,21,5455,2,89,18.16
"1040",2023-01-09,960,7385399,114,625055,930,33,430,23,5457,2,86,13.23
"1041",2023-01-10,1127,7386526,185,625240,933,34,423,23,5460,3,136,17.39
"1042",2023-01-11,933,7387459,134,625374,926,33,408,22,5465,5,98,16.18
"1043",2023-01-12,1004,7388463,153,625527,913,37,398,23,5471,6,107,15.64
"1044",2023-01-13,1025,7389488,116,625643,894,37,390,22,5478,7,79,12.68
"1045",2023-01-14,896,7390384,106,625749,860,35,368,18,5484,6,73,12.83
"1046",2023-01-15,614,7390998,76,625825,869,32,375,17,5487,3,43,12.7
"1047",2023-01-16,901,7391899,70,625895,897,31,389,16,5489,2,51,8.21
"1048",2023-01-17,985,7392884,122,626017,882,35,386,18,5493,4,84,13.3
"1049",2023-01-18,820,7393704,106,626123,861,34,378,18,5498,5,80,14.27
"1050",2023-01-19,1002,7394706,109,626232,849,31,371,15,5502,4,84,11.68
"1051",2023-01-20,821,7395527,112,626344,834,26,367,15,5508,6,80,14.86
"1052",2023-01-21,616,7396143,72,626416,804,28,356,16,5515,7,44,12.5
"1053",2023-01-22,564,7396707,69,626485,799,29,349,15,5518,3,44,13.83
"1054",2023-01-23,629,7397336,50,626535,815,30,357,16,5520,2,35,8.74
"1055",2023-01-24,866,7398202,132,626667,812,31,355,17,5522,2,91,17.09
"1056",2023-01-25,830,7399032,80,626747,799,31,356,15,5525,3,52,10.36
"1057",2023-01-26,882,7399914,116,626863,777,31,348,17,5533,8,76,13.83
"1058",2023-01-27,638,7400552,71,626934,756,26,343,17,5539,6,51,12.7
"1059",2023-01-28,635,7401187,84,627018,731,27,330,14,5543,4,54,14.96
"1060",2023-01-29,500,7401687,55,627073,724,28,330,16,5546,3,32,11.6
"1061",2023-01-30,759,7402446,56,627129,725,25,330,13,5549,3,35,8.04
"1062",2023-01-31,970,7403416,96,627225,718,27,321,14,5555,6,66,10.82
"1063",2023-02-01,907,7404323,98,627323,706,25,309,13,5559,4,61,12.13
"1064",2023-02-02,765,7405088,83,627406,704,22,308,9,5561,2,47,11.11
"1065",2023-02-03,894,7405982,88,627494,687,23,298,11,5562,1,28,10.74
"1066",2023-02-04,678,7406660,69,627563,674,22,286,10,5565,3,29,11.65
"1067",2023-02-05,613,7407273,58,627621,673,19,287,10,5566,1,20,9.79
"1068",2023-02-06,745,7408018,60,627681,705,21,301,10,5569,3,21,8.86
"1069",2023-02-07,914,7408932,74,627755,700,19,293,8,5571,2,28,9.3
"1070",2023-02-08,880,7409812,93,627848,691,19,282,8,5574,3,45,12.27
"1071",2023-02-09,803,7410615,75,627923,677,20,275,9,5575,1,37,10.59
"1072",2023-02-10,674,7411289,43,627966,657,16,266,7,5575,0,23,6.53
"1073",2023-02-11,677,7411966,44,628010,630,19,251,8,5576,1,19,6.79
"1074",2023-02-12,587,7412553,44,628054,627,17,251,8,5579,3,21,7.5
"1075",2023-02-13,670,7413223,60,628114,644,19,262,8,5581,2,26,9.55
"1076",2023-02-14,791,7414014,66,628180,637,20,255,9,5585,4,33,9.1
"1077",2023-02-15,819,7414833,76,628256,628,19,253,7,5588,3,27,10.26
"1078",2023-02-16,714,7415547,45,628301,619,17,251,7,5588,0,13,7
"1079",2023-02-17,804,7416351,89,628390,611,17,249,8,5588,0,23,11.69
"1080",2023-02-18,761,7417112,47,628437,589,17,237,8,5592,4,16,6.7
"1081",2023-02-19,634,7417746,43,628480,584,16,235,7,5596,4,16,7.41
"1082",2023-02-20,607,7418353,54,628534,597,16,243,7,5599,3,16,10.05
"1083",2023-02-21,691,7419044,53,628587,596,15,241,7,5600,1,24,8.1
"1084",2023-02-22,777,7419821,64,628651,584,15,236,6,5602,2,30,8.88
"1085",2023-02-23,708,7420529,56,628707,583,13,245,5,5602,0,14,8.76
"1086",2023-02-24,690,7421219,53,628760,577,16,244,7,5604,2,17,8.26
"1087",2023-02-25,656,7421875,48,628808,560,15,232,7,5607,3,14,8.23
"1088",2023-02-26,557,7422432,52,628860,567,14,235,8,5609,2,17,10.05
"1089",2023-02-27,705,7423137,58,628918,578,16,244,8,5614,5,19,9.36
"1090",2023-02-28,741,7423878,51,628969,554,14,232,7,5614,0,12,7.42
"1091",2023-03-01,691,7424569,51,629020,550,12,230,7,5616,2,17,7.96
"1092",2023-03-02,687,7425256,43,629063,539,12,219,7,5617,1,9,6.55
"1093",2023-03-03,617,7425873,50,629113,536,13,223,7,5617,0,10,8.75
"1094",2023-03-04,668,7426541,55,629168,535,14,225,8,5618,1,15,8.98
"1095",2023-03-05,556,7427097,40,629208,534,14,224,8,5621,3,6,8.27
"1096",2023-03-06,623,7427720,55,629263,543,13,229,7,5623,2,16,9.31
"1097",2023-03-07,678,7428398,51,629314,533,11,223,5,5623,0,5,8.26
"1098",2023-03-08,531,7428929,45,629359,522,13,223,7,5624,1,11,9.23
"1099",2023-03-09,707,7429636,68,629427,509,12,217,6,5626,2,13,10.18
"1100",2023-03-10,688,7430324,51,629478,497,11,209,5,5629,3,10,7.85
"1101",2023-03-11,635,7430959,71,629549,477,11,194,5,5631,2,14,11.97
"1102",2023-03-12,631,7431590,40,629589,492,13,201,6,5634,3,13,7.92
"1103",2023-03-13,630,7432220,60,629649,501,11,207,5,5634,0,17,10.48
"1104",2023-03-14,714,7432934,51,629700,491,13,198,8,5635,1,18,8.26
"1105",2023-03-15,801,7433735,92,629792,486,13,201,8,5636,1,30,12.23
"1106",2023-03-16,573,7434308,50,629842,481,16,201,9,5636,0,5,9.08
"1107",2023-03-17,794,7435102,54,629896,472,18,198,9,5638,2,6,7.05
"1108",2023-03-18,781,7435883,51,629947,462,16,194,7,5638,0,11,7.04
"1109",2023-03-19,597,7436480,51,629998,471,17,200,8,5639,1,5,9.38
"1110",2023-03-20,610,7437090,49,630047,490,20,211,12,5639,0,2,9.02
"1111",2023-03-21,808,7437898,70,630117,484,21,NA,NA,5640,1,0,9.16
"1112",2023-03-22,819,7438717,62,630179,476,22,NA,NA,5641,1,0,8.67
"1113",2023-03-23,785,7439502,67,630246,462,19,NA,NA,5642,1,0,8.92
"1114",2023-03-24,700,7440202,56,630302,461,18,NA,NA,5643,1,0,8.43
"1115",2023-03-25,671,7440873,48,630350,454,22,NA,NA,5643,0,0,7.45
"1116",2023-03-26,569,7441442,54,630404,466,24,NA,NA,5643,0,0,9.67
"1117",2023-03-27,533,7441975,40,630444,465,25,NA,NA,5643,0,0,7.69
